Date,Open,High,Low,Close,Volume,High-low,Open-close
12-12-2017,411,415.7,405.55,405.7,1407417,10.15,5.3
13-12-2017,406.25,409.7,400,401.85,409532,9.7,4.4
14-12-2017,403.35,404.2,398.55,402.8,285975,5.65,0.55
15-12-2017,406.2,409,404.05,405.15,325973,4.95,1.05
18-12-2017,401.7,409.6,389.75,405.5,528293,19.85,-3.8
19-12-2017,408.9,420.4,408,419.25,922779,12.4,-10.35
20-12-2017,422,427.5,419.3,421.95,710303,8.2,0.05
21-12-2017,422.55,426.1,418.95,420.25,330655,7.15,2.3
22-12-2017,421,425.95,420.3,421.9,352495,5.65,-0.9
26-12-2017,422.1,424.7,421.3,423.6,177365,3.4,-1.5
27-12-2017,425,427.95,420.35,422.5,217274,7.6,2.5
28-12-2017,424,424,416.25,418.4,222704,7.75,5.6
29-12-2017,418.5,432.5,417.4,431.2,552476,15.1,-12.7
01-01-2018,432.2,436.45,422.85,425.4,524326,13.6,6.8
02-01-2018,429.7,440.2,422.1,438.85,1316818,18.1,-9.15
03-01-2018,439.5,441.45,432.25,433.2,526955,9.2,6.3
04-01-2018,430,433,426.05,429.7,430531,6.95,0.3
05-01-2018,432,436.3,430.1,430.8,358825,6.2,1.2
08-01-2018,433.7,436.4,431.8,433.7,377823,4.6,0
09-01-2018,434.75,443.55,433.35,436.55,611751,10.2,-1.8
10-01-2018,438.85,439.4,431.5,432.5,308664,7.9,6.35
11-01-2018,432.55,437.5,432.55,434.45,199587,4.95,-1.9
12-01-2018,438.3,440.9,432.15,436.15,338549,8.75,2.15
15-01-2018,438.7,439.9,430.3,431.75,221532,9.6,6.95
16-01-2018,432,435.3,420,421.8,437771,15.3,10.2
17-01-2018,422.85,425,410.8,422.75,2714535,14.2,0.1
18-01-2018,422.35,427.75,414.8,418.8,439932,12.95,3.55
19-01-2018,419.75,421.9,415.2,418.95,239133,6.7,0.8
22-01-2018,419,424.2,418.65,421.55,156097,5.55,-2.55
23-01-2018,422.1,422.1,414.75,418.05,365515,7.35,4.05
24-01-2018,417.75,417.75,402.5,403.6,765278,15.25,14.15
25-01-2018,402.25,408,399,400.2,559942,9,2.05
29-01-2018,401.15,406,398.05,399.3,335015,7.95,1.85
30-01-2018,399.1,402.2,395.3,396.2,407917,6.9,2.9
31-01-2018,396.2,401,395.75,399.25,348600,5.25,-3.05
01-02-2018,401,403.85,391.05,394.65,551822,12.8,6.35
02-02-2018,391,397.25,381.65,384.05,649423,15.6,6.95
05-02-2018,381.65,398.4,380.45,396.05,723112,17.95,-14.4
06-02-2018,368,379.6,357,374.45,2009877,22.6,-6.45
07-02-2018,388,388,375.3,377.5,1890021,12.7,10.5
08-02-2018,381,381,372.7,374.85,1041768,8.3,6.15
09-02-2018,370,373.1,368.5,369.2,614888,4.6,0.8
12-02-2018,372,376.25,370.35,372.45,469444,5.9,-0.45
